JURISDICTION,PLANNING PERIOD,6TH CYCLE STARTED,VLI UNITS,RHNA VLI,VLI %,LI UNITS,RHNA LI,LI %,MOD UNITS,RHNA MOD,MOD %,ABOVE MOD UNITS,RHNA ABOVE MOD,ABOVE MOD %
Adelanto,10/15/2021 - 10/15/2029,TRUE,,394,,,566,,,651,,106,2152,4.9%
Agoura Hills,10/15/2021 - 10/15/2029,TRUE,5,127,3.9%,16,72,22.2%,3,55,5.5%,11,64,17.2%
Alameda,1/31/2023 - 1/31/2031,TRUE,13,1421,0.9%,11,818,1.3%,19,868,2.2%,92,2246,4.1%
Alameda County,1/31/2023 - 1/31/2031,TRUE,103,1251,8.2%,112,721,15.5%,33,763,4.3%,72,1976,3.6%
Albany,1/31/2023 - 1/31/2031,TRUE,,308,,,178,,10,175,5.7%,,453,
Alhambra,10/15/2021 - 10/15/2029,TRUE,,1774,,1,1036,0.1%,,1079,,189,2936,6.4%
Aliso Viejo,10/15/2021 - 10/15/2029,TRUE,,390,,,214,,,205,,,386,
Alpine County,8/31/2019 - 6/30/2024,TRUE,,1,,,1,,2,0,Infinity,19,0,Infinity
Alturas,8/31/2019 - 6/30/2024,TRUE,,2,,2,1,200.0%,1,1,100.0%,1,3,33.3%
Amador,9/15/2021 - 9/15/2029,TRUE,,1,,,1,,,1,,,2,
Amador County,9/15/2021 - 9/15/2029,TRUE,5,109,4.6%,12,62,19.4%,44,72,61.1%,64,134,47.8%
American Canyon,1/31/2023 - 1/31/2031,TRUE,4,169,2.4%,,109,,2,95,2.1%,78,249,31.3%
Anaheim,10/15/2021 - 10/15/2029,TRUE,241,3767,6.4%,133,2397,5.5%,124,2945,4.2%,993,8344,11.9%
Anderson,4/15/2020 - 4/15/2028,TRUE,,54,,,37,,,41,,48,109,44.0%
Angels Camp,6/15/2019 - 6/15/2027,TRUE,,57,,1,42,2.4%,,38,,9,107,8.4%
Antioch,1/31/2023 - 1/31/2031,TRUE,11,792,1.4%,8,456,1.8%,10,493,2.0%,334,1275,26.2%
Apple Valley,10/15/2021 - 10/15/2029,TRUE,,1086,,,600,,202,747,27.0%,48,1857,2.6%
Arcadia,10/15/2021 - 10/15/2029,TRUE,,1102,,,570,,,605,,264,937,28.2%
Arcata,8/31/2019 - 8/31/2027,TRUE,167,142,117.6%,80,95,84.2%,136,111,122.5%,89,262,34.0%
Arroyo Grande,12/31/2020 - 12/31/2028,TRUE,,170,,15,107,14.0%,15,124,12.1%,33,291,11.3%
Artesia,10/15/2021 - 10/15/2029,TRUE,,312,,,168,,,128,,9,461,2.0%
Arvin,12/31/2023 - 12/31/2031,TRUE,,124,,,79,,,268,,,703,
Atascadero,12/31/2020 - 12/31/2028,TRUE,3,207,1.4%,103,131,78.6%,111,151,73.5%,87,354,24.6%
Atherton,1/31/2023 - 1/31/2031,TRUE,6,94,6.4%,7,54,13.0%,,56,,25,144,17.4%
Atwater,1/31/2024 - 1/31/2032,TRUE,,768,,,526,,,508,,,1215,
Auburn,5/15/2021 - 5/15/2029,TRUE,,68,,,41,,10,60,16.7%,37,141,26.2%
Avalon,10/15/2021 - 10/15/2029,TRUE,,8,,,5,,,3,,4,11,36.4%
Avenal,1/31/2024 - 1/31/2032,TRUE,,48,,,37,,,55,,,137,
Azusa,10/15/2021 - 10/15/2029,TRUE,,760,,1,368,0.3%,1,382,0.3%,1,1141,0.1%
Bakersfield,12/31/2023 - 12/31/2031,TRUE,,11129,,,7082,,,5317,,,13933,
Baldwin Park,10/15/2021 - 10/15/2029,TRUE,,576,,,275,,,263,,127,887,14.3%
Banning,10/15/2021 - 10/15/2029,TRUE,,317,,,193,,,280,,,883,
Barstow,10/15/2021 - 10/15/2029,TRUE,,172,,,228,,,300,,6,820,0.7%
Beaumont,10/15/2021 - 10/15/2029,TRUE,,1229,,,721,,,723,,,1537,
Bell,10/15/2021 - 10/15/2029,TRUE,,43,,,24,,2,29,6.9%,19,133,14.3%
Bell Gardens,10/15/2021 - 10/15/2029,TRUE,,100,,,29,,,72,,48,302,15.9%
Bellflower,10/15/2021 - 10/15/2029,TRUE,,1015,,,488,,,553,,157,1679,9.4%
Belmont,1/31/2023 - 1/31/2031,TRUE,6,488,1.2%,6,281,2.1%,6,283,2.1%,6,733,0.8%
Belvedere,1/31/2023 - 1/31/2031,TRUE,,49,,,28,,,23,,,60,
Benicia,1/31/2023 - 1/31/2031,TRUE,,212,,,127,,,123,,8,288,2.8%
Berkeley,1/31/2023 - 1/31/2031,TRUE,61,2446,2.5%,49,1408,3.5%,25,1416,1.8%,285,3664,7.8%
Beverly Hills,10/15/2021 - 10/15/2029,TRUE,1,1008,0.1%,1,680,0.1%,,602,,120,814,14.7%
Big Bear Lake,10/15/2021 - 10/15/2029,TRUE,,50,,,33,,,37,,45,92,48.9%
Biggs,6/15/2022 - 6/15/2030,TRUE,,36,,,1,,,12,,,32,
Bishop,4/30/2021 - 4/30/2029,TRUE,,24,,6,20,30.0%,3,21,14.3%,7,53,13.2%
Blue Lake,8/31/2019 - 8/31/2027,TRUE,,7,,,4,,1,5,20.0%,6,7,85.7%
Blythe,10/15/2021 - 10/15/2029,TRUE,,82,,,71,,3,96,3.1%,2,245,0.8%
Bradbury,10/15/2021 - 10/15/2029,TRUE,,16,,,9,,,9,,3,7,42.9%
Brawley,10/15/2021 - 10/15/2029,TRUE,,399,,2,210,1.0%,,202,,73,615,11.9%
Brea,10/15/2021 - 10/15/2029,TRUE,,669,,,393,,,403,,23,900,2.6%
Brentwood,1/31/2023 - 1/31/2031,TRUE,6,402,1.5%,7,232,3.0%,6,247,2.4%,113,641,17.6%
Brisbane,1/31/2023 - 1/31/2031,TRUE,2,317,0.6%,1,183,0.5%,2,303,0.7%,,785,
Buellton,2/15/2023 - 2/15/2031,TRUE,,55,,,37,,,30,,,43,
Buena Park,10/15/2021 - 10/15/2029,TRUE,74,2119,3.5%,34,1343,2.5%,18,1573,1.1%,141,3884,3.6%
Burbank,10/15/2021 - 10/15/2029,TRUE,3,2553,0.1%,313,1418,22.1%,125,1409,8.9%,835,3392,24.6%
Burlingame,1/31/2023 - 1/31/2031,TRUE,,863,,,497,,,529,,,1368,
Butte County,6/15/2022 - 6/15/2030,TRUE,,272,,,361,,45,998,4.5%,276,2157,12.8%
Calabasas,10/15/2021 - 10/15/2029,TRUE,3,132,2.3%,,71,,4,70,5.7%,14,81,17.3%
Calaveras County,6/15/2019 - 6/15/2027,TRUE,14,268,5.2%,30,178,16.9%,144,168,85.7%,253,482,52.5%
Calexico,10/15/2021 - 10/15/2029,TRUE,,1279,,,655,,,614,,,2320,
California City,12/31/2023 - 12/31/2031,TRUE,,39,,,25,,,100,,,263,
Calimesa,10/15/2021 - 10/15/2029,TRUE,,495,,,275,,15,379,4.0%,33,868,3.8%
Calipatria,10/15/2021 - 10/15/2029,TRUE,,36,,4,21,19.0%,4,16,25.0%,,78,
Calistoga,1/31/2023 - 1/31/2031,TRUE,,31,,,19,,,19,,,50,
Camarillo,10/15/2021 - 10/15/2029,TRUE,36,353,10.2%,23,244,9.4%,54,271,19.9%,26,508,5.1%
Campbell,1/31/2023 - 1/31/2031,TRUE,6,752,0.8%,8,434,1.8%,6,499,1.2%,50,1292,3.9%
Canyon Lake,10/15/2021 - 10/15/2029,TRUE,,43,,,24,,,24,,1,38,2.6%
Capitola,12/15/2023 - 12/15/2031,TRUE,,430,,,282,,1,169,0.6%,,455,
Carlsbad,4/30/2021 - 4/30/2029,TRUE,45,1311,3.4%,160,784,20.4%,213,749,28.4%,396,1029,38.5%
Carmel,12/15/2023 - 12/15/2031,TRUE,,113,,,74,,,44,,,118,
Carpinteria,2/15/2023 - 2/15/2031,TRUE,,286,,,132,,,135,,10,348,2.9%
Carson,10/15/2021 - 10/15/2029,TRUE,,1770,,,913,,,875,,27,2060,1.3%
Cathedral,10/15/2021 - 10/15/2029,TRUE,6,540,1.1%,23,353,6.5%,16,457,3.5%,157,1199,13.1%
Ceres,12/31/2023 - 12/31/2031,TRUE,,706,,,489,,,661,,,1505,
Cerritos,10/15/2021 - 10/15/2029,TRUE,5,679,0.7%,,345,,4,332,1.2%,10,552,1.8%
Chico,6/15/2022 - 6/15/2030,TRUE,173,1101,15.7%,127,507,25.0%,8,770,1.0%,288,1110,25.9%
Chino,10/15/2021 - 10/15/2029,TRUE,,2113,,2,1284,0.2%,19,1203,1.6%,892,2378,37.5%
Chino Hills,10/15/2021 - 10/15/2029,TRUE,10,1388,0.7%,16,821,1.9%,19,789,2.4%,66,731,9.0%
Chowchilla,1/31/2024 - 1/31/2032,TRUE,,364,,,306,,,275,,,785,
Chula Vista,4/30/2021 - 4/30/2029,TRUE,141,2750,5.1%,399,1777,22.5%,,1911,,2374,4667,50.9%
Citrus Heights,5/15/2021 - 5/15/2029,TRUE,13,132,9.8%,157,79,198.7%,8,144,5.6%,243,342,71.1%
Claremont,10/15/2021 - 10/15/2029,TRUE,30,556,5.4%,20,310,6.5%,7,297,2.4%,89,548,16.2%
Clayton,1/31/2023 - 1/31/2031,TRUE,,170,,,97,,,84,,,219,
Clearlake,8/15/2019 - 8/15/2027,TRUE,1,97,1.0%,116,65,178.5%,8,72,11.1%,2,200,1.0%
Cloverdale,1/31/2023 - 1/31/2031,TRUE,,86,,24,55,43.6%,,45,,2,149,1.3%
Clovis,12/31/2023 - 12/31/2031,TRUE,,2926,,,1549,,,1448,,,3054,
Coachella,10/15/2021 - 10/15/2029,TRUE,,1033,,,999,,74,1367,5.4%,191,4487,4.3%
Coalinga,12/31/2023 - 12/31/2031,TRUE,,157,,,96,,,89,,,224,
Colfax,5/15/2021 - 5/15/2029,TRUE,,17,,,11,,,21,,,48,
Colma,1/31/2023 - 1/31/2031,TRUE,,44,,,25,,,37,,,96,
Colton,10/15/2021 - 10/15/2029,TRUE,,1318,,,668,,,906,,89,2542,3.5%
Colusa,12/31/2020 - 12/31/2028,TRUE,48,76,63.2%,,64,,80,79,101.3%,,160,
Colusa County,12/31/2020 - 12/31/2028,TRUE,2,114,1.8%,10,91,11.0%,6,110,5.5%,12,211,5.7%
Commerce,10/15/2021 - 10/15/2029,TRUE,,55,,3,22,13.6%,2,39,5.1%,3,131,2.3%
Compton,10/15/2021 - 10/15/2029,TRUE,,235,,,121,,,131,,97,517,18.8%
Concord,1/31/2023 - 1/31/2031,TRUE,,1292,,,744,,,847,,,2190,
Contra Costa County,1/31/2023 - 1/31/2031,TRUE,31,2072,1.5%,71,1194,5.9%,108,1211,8.9%,164,3133,5.2%
Corcoran,1/31/2024 - 1/31/2032,TRUE,,122,,,116,,,118,,,359,
Corning,8/31/2019 - 6/30/2024,TRUE,,47,,6,36,16.7%,1,36,2.8%,,87,
Corona,10/15/2021 - 10/15/2029,TRUE,52,1752,3.0%,,1040,,,1096,,494,2200,22.5%
Coronado,4/30/2021 - 4/30/2029,TRUE,,312,,,169,,,159,,134,272,49.3%
Corte Madera,1/31/2023 - 1/31/2031,TRUE,2,213,0.9%,2,123,1.6%,2,108,1.9%,,281,
Costa Mesa,10/15/2021 - 10/15/2029,TRUE,24,2919,0.8%,44,1794,2.5%,11,2088,0.5%,10,4959,0.2%
Cotati,1/31/2023 - 1/31/2031,TRUE,,60,,,34,,,39,,1,101,1.0%
Covina,10/15/2021 - 10/15/2029,TRUE,30,614,4.9%,24,268,9.0%,64,281,22.8%,249,747,33.3%
Crescent City,9/15/2022 - 9/15/2030,TRUE,,39,,,22,,,27,,12,101,11.9%
Cudahy,10/15/2021 - 10/15/2029,TRUE,4,80,5.0%,,36,,,53,,55,224,24.6%
Culver City,10/15/2021 - 10/15/2029,TRUE,73,1108,6.6%,1,604,0.2%,2,560,0.4%,197,1069,18.4%
Cupertino,1/31/2023 - 1/31/2031,TRUE,10,1193,0.8%,8,687,1.2%,9,755,1.2%,36,1953,1.8%
Cypress,10/15/2021 - 10/15/2029,TRUE,16,1150,1.4%,,657,,1,623,0.2%,457,1506,30.3%
Daly City,1/31/2023 - 1/31/2031,TRUE,,1336,,,769,,19,762,2.5%,22,1971,1.1%
Dana Point,10/15/2021 - 10/15/2029,TRUE,1,147,0.7%,8,84,9.5%,2,101,2.0%,55,198,27.8%
Danville,1/31/2023 - 1/31/2031,TRUE,4,652,0.6%,4,376,1.1%,11,338,3.3%,71,875,8.1%
Davis,5/15/2021 - 5/15/2029,TRUE,28,580,4.8%,,350,,522,340,153.5%,187,805,23.2%
Del Mar,4/30/2021 - 4/30/2029,TRUE,,37,,,64,,38,31,122.6%,29,31,93.5%
Del Norte County,9/15/2022 - 9/15/2030,TRUE,15,102,14.7%,8,75,10.7%,12,55,21.8%,61,154,39.6%
Del Rey Oaks,12/15/2023 - 12/15/2031,TRUE,,60,,,38,,,24,,,62,
Delano,12/31/2023 - 12/31/2031,TRUE,,324,,,206,,,369,,,967,
Desert Hot Springs,10/15/2021 - 10/15/2029,TRUE,,569,,2,535,0.4%,247,688,35.9%,59,2081,2.8%
Diamond Bar,10/15/2021 - 10/15/2029,TRUE,35,844,4.1%,40,434,9.2%,5,437,1.1%,11,806,1.4%
Dinuba,12/31/2023 - 12/31/2031,TRUE,,387,,,238,,,268,,,695,
Dixon,1/31/2023 - 1/31/2031,TRUE,16,113,14.2%,56,62,90.3%,,62,,215,179,120.1%
Dorris,2/15/2023 - 2/15/2031,TRUE,,1,,,1,,,0,,,0,
Dos Palos,1/31/2024 - 1/31/2032,TRUE,,56,,,39,,,49,,,117,
Downey,10/15/2021 - 10/15/2029,TRUE,,2079,,,946,,,915,,332,2585,12.8%
Duarte,10/15/2021 - 10/15/2029,TRUE,3,269,1.1%,38,145,26.2%,7,137,5.1%,292,337,86.6%
Dublin,1/31/2023 - 1/31/2031,TRUE,,1085,,,625,,,560,,370,1449,25.5%
Dunsmuir,2/15/2023 - 2/15/2031,TRUE,,1,,,1,,,0,,1,0,Infinity
East Palo Alto,1/31/2023 - 1/31/2031,TRUE,10,165,6.1%,7,95,7.4%,6,159,3.8%,9,410,2.2%
Eastvale,10/15/2021 - 10/15/2029,TRUE,,1145,,,672,,,635,,24,576,4.2%
El Cajon,4/30/2021 - 4/30/2029,TRUE,,481,,34,414,8.2%,77,518,14.9%,125,1867,6.7%
El Centro,10/15/2021 - 10/15/2029,TRUE,129,1001,12.9%,106,490,21.6%,34,462,7.4%,1,1489,0.1%
El Cerrito,1/31/2023 - 1/31/2031,TRUE,,334,,,192,,,241,,50,624,8.0%
El Dorado County,5/15/2021 - 5/15/2029,TRUE,74,1441,5.1%,77,868,8.9%,109,903,12.1%,1421,2141,66.4%
El Monte,10/15/2021 - 10/15/2029,TRUE,38,1797,2.1%,,853,,,1233,,223,4619,4.8%
El Segundo,10/15/2021 - 10/15/2029,TRUE,,189,,,88,,,84,,31,131,23.7%
Elk Grove,5/15/2021 - 5/15/2029,TRUE,102,2661,3.8%,389,1604,24.3%,4,1186,0.3%,949,2812,33.7%
Emeryville,1/31/2023 - 1/31/2031,TRUE,53,451,11.8%,36,259,13.9%,,308,,26,797,3.3%
Encinitas,4/30/2021 - 4/30/2029,TRUE,34,469,7.2%,18,369,4.9%,78,308,25.3%,378,408,92.6%
Escalon,12/31/2023 - 12/31/2031,TRUE,,92,,,54,,,80,,,142,
Escondido,4/30/2021 - 4/30/2029,TRUE,91,1864,4.9%,113,1249,9.0%,40,1527,2.6%,844,4967,17.0%
Etna,2/15/2023 - 2/15/2031,TRUE,,1,,,1,,,0,,,0,
Eureka,8/31/2019 - 8/31/2027,TRUE,7,231,3.0%,63,147,42.9%,36,172,20.9%,44,402,10.9%
Exeter,12/31/2023 - 12/31/2031,TRUE,,197,,,121,,,146,,,380,
Fairfax,1/31/2023 - 1/31/2031,TRUE,2,149,1.3%,2,86,2.3%,2,71,2.8%,,184,
Fairfield,1/31/2023 - 1/31/2031,TRUE,36,792,4.5%,139,464,30.0%,14,539,2.6%,339,1274,26.6%
Farmersville,12/31/2023 - 12/31/2031,TRUE,,135,,,83,,,121,,,315,
Ferndale,8/31/2019 - 8/31/2027,TRUE,,9,,8,5,160.0%,3,6,50.0%,8,13,61.5%
Fillmore,10/15/2021 - 10/15/2029,TRUE,4,73,5.5%,3,61,4.9%,,72,,84,209,40.2%
Firebaugh,12/31/2023 - 12/31/2031,TRUE,,102,,,46,,,66,,,229,
Folsom,5/15/2021 - 5/15/2029,TRUE,162,2226,7.3%,263,1341,19.6%,620,829,74.8%,2385,1967,121.3%
Fontana,10/15/2021 - 10/15/2029,TRUE,,5109,,,2950,,,3035,,2366,6425,36.8%
Fort Bragg,8/15/2019 - 8/15/2027,TRUE,27,60,45.0%,49,31,158.1%,47,23,204.3%,18,23,78.3%
Fort Jones,2/15/2023 - 2/15/2031,TRUE,,1,,,1,,,0,,,0,
Fortuna,8/31/2019 - 8/31/2027,TRUE,,73,,8,46,17.4%,73,51,143.1%,69,120,57.5%
Foster City,1/31/2023 - 1/31/2031,TRUE,1,520,0.2%,,299,,1,300,0.3%,2,777,0.3%
Fountain Valley,10/15/2021 - 10/15/2029,TRUE,65,1307,5.0%,58,786,7.4%,22,834,2.6%,99,1912,5.2%
Fowler,12/31/2023 - 12/31/2031,TRUE,,94,,,57,,,47,,,141,
Fremont,1/31/2023 - 1/31/2031,TRUE,43,3640,1.2%,103,2096,4.9%,23,1996,1.2%,165,5165,3.2%
Fresno,12/31/2023 - 12/31/2031,TRUE,,9440,,,5884,,,5638,,,15904,
Fresno County,12/31/2023 - 12/31/2031,TRUE,,706,,,391,,,370,,,883,
Fullerton,10/15/2021 - 10/15/2029,TRUE,44,3198,1.4%,74,1989,3.7%,24,2271,1.1%,430,5751,7.5%
Galt,5/15/2021 - 5/15/2029,TRUE,,404,,2,243,0.8%,,379,,358,900,39.8%
Garden Grove,10/15/2021 - 10/15/2029,TRUE,,4166,,,2801,,,3211,,861,8990,9.6%
Gardena,10/15/2021 - 10/15/2029,TRUE,,1485,,2,761,0.3%,,894,,739,2595,28.5%
Gilroy,1/31/2023 - 1/31/2031,TRUE,12,669,1.8%,12,385,3.1%,11,200,5.5%,153,519,29.5%
Glendale,10/15/2021 - 10/15/2029,TRUE,205,3439,6.0%,312,2163,14.4%,,2249,,1010,5574,18.1%
Glendora,10/15/2021 - 10/15/2029,TRUE,1,735,0.1%,4,386,1.0%,8,388,2.1%,134,767,17.5%
Glenn County,11/30/2021 - 11/30/2029,TRUE,,75,,4,30,13.3%,8,36,22.2%,12,88,13.6%
Goleta,2/15/2023 - 2/15/2031,TRUE,7,682,1.0%,11,324,3.4%,,370,,3,461,0.7%
Gonzales,12/15/2023 - 12/15/2031,TRUE,,173,,,115,,,321,,,657,
Grand Terrace,10/15/2021 - 10/15/2029,TRUE,,189,,,92,,,106,,2,243,0.8%
Grass Valley,8/15/2019 - 8/15/2027,TRUE,30,143,21.0%,50,126,39.7%,15,125,12.0%,45,349,12.9%
Greenfield,12/15/2023 - 12/15/2031,TRUE,,101,,,66,,3,184,1.6%,,379,
Gridley,6/15/2022 - 6/15/2030,TRUE,,118,,,41,,,30,,,156,
Grover Beach,12/31/2020 - 12/31/2028,TRUE,,91,,21,57,36.8%,15,66,22.7%,29,155,18.7%
Guadalupe,2/15/2023 - 2/15/2031,TRUE,,3,,,24,,49,77,63.6%,,327,
Gustine,1/31/2024 - 1/31/2032,TRUE,,77,,,53,,,64,,,152,
Half Moon Bay,1/31/2023 - 1/31/2031,TRUE,4,181,2.2%,14,104,13.5%,6,54,11.1%,9,141,6.4%
Hanford,1/31/2024 - 1/31/2032,TRUE,,1369,,,993,,,1066,,,2119,
Hawaiian Gardens,10/15/2021 - 10/15/2029,TRUE,,61,,,44,,,46,,14,180,7.8%
Hawthorne,10/15/2021 - 10/15/2029,TRUE,,445,,,204,,,249,,32,836,3.8%
Hayward,1/31/2023 - 1/31/2031,TRUE,58,1075,5.4%,147,617,23.8%,108,817,13.2%,329,2115,15.6%
Healdsburg,1/31/2023 - 1/31/2031,TRUE,,190,,,109,,,49,,8,128,6.3%
Hemet,10/15/2021 - 10/15/2029,TRUE,,812,,,732,,58,1174,4.9%,886,3748,23.6%
Hercules,1/31/2023 - 1/31/2031,TRUE,,344,,,198,,,126,,2,327,0.6%
