JURISDICTION,PLANNING PERIOD,6TH CYCLE STARTED,VLI UNITS,RHNA VLI,VLI %,LI UNITS,RHNA LI,LI %,MOD UNITS,RHNA MOD,MOD %,ABOVE MOD UNITS,RHNA ABOVE MOD,ABOVE MOD %
San Diego,4/30/2021 - 4/30/2029,TRUE,516,27549,1.9%,387,17331,2.2%,61,19319,0.3%,8140,43837,18.6%
San Diego County,4/30/2021 - 4/30/2029,TRUE,272,1834,14.8%,612,992,61.7%,737,1165,63.3%,2153,2709,79.5%
San Dimas,10/15/2021 - 10/15/2029,TRUE,,384,,,220,,,206,,75,438,17.1%
San Fernando,10/15/2021 - 10/15/2029,TRUE,6,461,1.3%,59,273,21.6%,28,284,9.9%,17,777,2.2%
San Francisco,1/31/2023 - 1/31/2031,TRUE,514,20867,2.5%,373,12014,3.1%,409,13717,3.0%,1738,35471,4.9%
San Gabriel,10/15/2021 - 10/15/2029,TRUE,,846,,134,415,32.3%,,466,,29,1296,2.2%
San Jacinto,10/15/2021 - 10/15/2029,TRUE,,800,,,465,,2,560,0.4%,340,1567,21.7%
San Joaquin,12/31/2023 - 12/31/2031,TRUE,,39,,,28,,,36,,,97,
San Joaquin County,12/31/2023 - 12/31/2031,TRUE,,1837,,,1132,,,1757,,,4082,
San Jose,1/31/2023 - 1/31/2031,TRUE,567,15088,3.8%,259,8687,3.0%,882,10711,8.2%,1220,27714,4.4%
San Juan Bautista,12/15/2023 - 12/15/2031,TRUE,,18,,,14,,,18,,,38,
San Juan Capistrano,10/15/2021 - 10/15/2029,TRUE,44,270,16.3%,23,173,13.3%,22,183,12.0%,291,428,68.0%
San Leandro,1/31/2023 - 1/31/2031,TRUE,16,862,1.9%,18,495,3.6%,18,696,2.6%,8,1802,0.4%
San Luis Obispo,12/31/2020 - 12/31/2028,TRUE,107,825,13.0%,178,520,34.2%,58,603,9.6%,1196,1406,85.1%
San Luis Obispo County,12/31/2020 - 12/31/2028,TRUE,,801,,123,505,24.4%,144,585,24.6%,449,1365,32.9%
San Marcos,4/30/2021 - 4/30/2029,TRUE,95,728,13.0%,39,530,7.4%,764,542,141.0%,559,1316,42.5%
San Marino,10/15/2021 - 10/15/2029,TRUE,,149,,,91,,,91,,65,66,98.5%
San Mateo,1/31/2023 - 1/31/2031,TRUE,24,1777,1.4%,24,1023,2.3%,20,1175,1.7%,24,3040,0.8%
San Mateo County,1/31/2023 - 1/31/2031,TRUE,,811,,,468,,,433,,,1121,
San Pablo,1/31/2023 - 1/31/2031,TRUE,,173,,53,100,53.0%,13,132,9.8%,10,341,2.9%
San Rafael,1/31/2023 - 1/31/2031,TRUE,40,857,4.7%,13,492,2.6%,,521,,56,1350,4.1%
San Ramon,1/31/2023 - 1/31/2031,TRUE,9,1497,0.6%,2,862,0.2%,5,767,0.7%,110,1985,5.5%
Sand City,12/15/2023 - 12/15/2031,TRUE,,59,,,39,,,49,,,113,
Sanger,12/31/2023 - 12/31/2031,TRUE,,412,,,193,,,245,,,644,
Santa Ana,10/15/2021 - 10/15/2029,TRUE,289,606,47.7%,229,362,63.3%,133,545,24.4%,3367,1624,207.3%
Santa Barbara,2/15/2023 - 2/15/2031,TRUE,1,2147,0.0%,34,1381,2.5%,,1441,,177,3032,5.8%
Santa Barbara County,2/15/2023 - 2/15/2031,TRUE,,1373,,58,1200,4.8%,8,1280,0.6%,153,1811,8.4%
Santa Clara,1/31/2023 - 1/31/2031,TRUE,58,2872,2.0%,190,1653,11.5%,60,1981,3.0%,602,5126,11.7%
Santa Clara County,1/31/2023 - 1/31/2031,TRUE,,828,,,477,,,508,,220,1312,16.8%
Santa Clarita,10/15/2021 - 10/15/2029,TRUE,,3397,,,1734,,,1672,,25,3228,0.8%
Santa Cruz,12/15/2023 - 12/15/2031,TRUE,,859,,2,562,0.4%,,709,,2,1606,0.1%
Santa Cruz County,12/15/2023 - 12/15/2031,TRUE,,1492,,1,976,0.1%,,586,,,1580,
Santa Fe Springs,10/15/2021 - 10/15/2029,TRUE,1,253,0.4%,5,159,3.1%,8,152,5.3%,,388,
Santa Maria,2/15/2023 - 2/15/2031,TRUE,,1032,,355,536,66.2%,,731,,36,3119,1.2%
Santa Monica,10/15/2021 - 10/15/2029,TRUE,137,2794,4.9%,34,1672,2.0%,94,1702,5.5%,769,2727,28.2%
Santa Paula,10/15/2021 - 10/15/2029,TRUE,,102,,,99,,,121,,,335,
Santa Rosa,1/31/2023 - 1/31/2031,TRUE,185,1218,15.2%,198,701,28.2%,73,771,9.5%,1244,1995,62.4%
Santee,4/30/2021 - 4/30/2029,TRUE,,406,,,200,,149,188,79.3%,134,425,31.5%
Saratoga,1/31/2023 - 1/31/2031,TRUE,,454,,12,261,4.6%,62,278,22.3%,44,719,6.1%
Sausalito,1/31/2023 - 1/31/2031,TRUE,,200,,,115,,,114,,,295,
Scotts Valley,12/15/2023 - 12/15/2031,TRUE,,392,,,257,,,154,,1,417,0.2%
Seal Beach,10/15/2021 - 10/15/2029,TRUE,,258,,,201,,2,239,0.8%,9,545,1.7%
Seaside,12/15/2023 - 12/15/2031,TRUE,,86,,,55,,,156,,,319,
Sebastopol,1/31/2023 - 1/31/2031,TRUE,34,55,61.8%,13,31,41.9%,,35,,8,92,8.7%
Selma,12/31/2023 - 12/31/2031,TRUE,,393,,,165,,,233,,,701,
Shafter,12/31/2023 - 12/31/2031,TRUE,,678,,,431,,,603,,,1581,
Shasta County,4/15/2020 - 4/15/2028,TRUE,46,273,16.8%,47,179,26.3%,28,193,14.5%,544,460,118.3%
Shasta Lake,4/15/2020 - 4/15/2028,TRUE,6,56,10.7%,27,39,69.2%,1,42,2.4%,5,101,5.0%
Sierra County,8/31/2019 - 6/30/2024,TRUE,7,1,700.0%,7,1,700.0%,6,0,Infinity,8,2,400.0%
Sierra Madre,10/15/2021 - 10/15/2029,TRUE,,79,,42,39,107.7%,1,35,2.9%,5,51,9.8%
Signal Hill,10/15/2021 - 10/15/2029,TRUE,,161,,,78,,,90,,13,188,6.9%
Simi Valley,10/15/2021 - 10/15/2029,TRUE,53,749,7.1%,50,493,10.1%,156,518,30.1%,528,1033,51.1%
Siskiyou County,2/15/2023 - 2/15/2031,TRUE,2,1,200.0%,1,1,100.0%,,0,,23,0,Infinity
Solana Beach,4/30/2021 - 4/30/2029,TRUE,,316,,,159,,45,160,28.1%,33,240,13.8%
Solano County,1/31/2023 - 1/31/2031,TRUE,,80,,11,50,22.0%,4,56,7.1%,19,129,14.7%
Soledad,12/15/2023 - 12/15/2031,TRUE,,100,,,65,,,183,,,376,
